Feature,Perturbation_%,Sample_Index,Original_Feature_Value,Perturbed_Feature_Value,Baseline_Prediction,Perturbed_Prediction,Actual_Value,Impact_on_Prediction_%,Baseline_Error_%,Perturbed_Error_%,Error_Change_%
Cover_Thickness_mm,-5.0,17,50.0,47.5,0.321926346274652,0.3830345812983809,0.3500009999999999,18.982054662775045,8.021306717794493,9.438139119139954,1.4168324013454612
Cover_Thickness_mm,-5.0,18,51.0,48.449999999999996,0.09083998274249505,0.12465778680615101,0.085001,37.22788472948042,6.869310646339525,46.65449442494914,39.78518377860962
Cover_Thickness_mm,-5.0,19,20.0,19.0,0.2710360597582249,0.2896126802944825,0.200001,6.8539295298303395,35.51735229235099,44.805616119160646,9.288263826809654
Cover_Thickness_mm,-5.0,20,65.0,61.75,0.11182121349170218,0.1019849962201855,0.191001,-8.796378580032657,41.4551685636713,46.604993575852745,5.149825012181445
Cover_Thickness_mm,-5.0,21,20.0,19.0,0.3052649179485576,0.31644591384082227,0.256001,3.662718915558082,19.243642778175715,23.611202237812467,4.367559459636752
Cover_Thickness_mm,-5.0,22,65.0,61.75,0.11182121349170218,0.1019849962201855,0.139001,-8.796378580032657,19.553662569548298,26.630026963701347,7.07636439415305
Cover_Thickness_mm,-5.0,23,51.0,48.449999999999996,0.20017119692634183,0.19836563853842304,0.216001,-0.9020070897528755,7.328578605496348,8.164481396649533,0.8359027911531847
Cover_Thickness_mm,-5.0,24,50.0,47.5,0.3891749205539696,0.405359912870058,0.4750009999999999,4.158796330721907,18.068610265247923,14.661250635249587,-3.4073596299983357
Cover_Thickness_mm,-5.0,25,70.0,66.5,0.07067466925325813,0.07036182256946201,0.094001,-0.4426574430437821,24.81498148609256,25.14779356659822,0.33281208050566136
Cover_Thickness_mm,-5.0,26,50.0,47.5,0.321926346274652,0.3830345812983809,0.235001,18.982054662775045,36.98935165154702,62.9927452642248,26.003393612677783
Cover_Thickness_mm,-5.0,27,51.0,48.449999999999996,0.0878354815924024,0.11635835290022367,0.111001,32.47306303867121,20.869648388390736,4.8264005731693125,-16.043247815221424
Cover_Thickness_mm,-5.0,28,51.0,48.449999999999996,0.08854839416904203,0.12478587211115738,0.065001,40.923924462070666,36.22620293386568,91.97531132006796,55.74910838620228
Cover_Thickness_mm,-5.0,29,50.0,47.5,0.303142062555608,0.3684383142286546,0.242001,21.539819028271186,25.264797482493044,52.246608166352445,26.9818106838594
Cover_Thickness_mm,-5.0,30,51.0,48.449999999999996,0.20017119692634183,0.19836563853842304,0.247001,-0.9020070897528755,18.95935768424345,19.690350023512842,0.7309923392693918
Cover_Thickness_mm,-5.0,31,51.0,48.449999999999996,0.08854839416904203,0.12478587211115738,0.075001,40.923924462070666,18.062951386037565,66.37894442895079,48.31599304291322
Cover_Thickness_mm,-5.0,32,51.0,48.449999999999996,0.217276126113634,0.22213568266265066,0.243001,2.2365809976173523,10.586324289351069,8.586515009135493,-1.999809280215576
Cover_Thickness_mm,-5.0,33,50.0,47.5,0.2790020036464555,0.33749952022101365,0.313001,20.966701245875196,10.862264450766764,7.826978259179261,-3.0352861915875033
Cover_Thickness_mm,-5.0,34,30.0,28.5,0.37232587549993273,0.37910116974527724,0.3460009999999999,1.8197215641397808,7.608323530837439,9.566495398937391,1.958171868099952
Cover_Thickness_mm,5.0,0,20.0,21.0,0.5435466844844884,0.5450423913169611,0.4820009999999999,0.27517541274145546,12.768787717139283,13.079099694183455,0.31031197704417224
Cover_Thickness_mm,5.0,1,10.0,10.5,0.2431976931074724,0.22807296857562012,0.228001,-6.219106907880276,6.665187041930694,0.031565026302565656,-6.633622015628128
Cover_Thickness_mm,5.0,2,50.0,52.5,0.34481258947472704,0.33792750493785484,0.225001,-1.996761355889194,53.24935865828464,50.189334686447985,-3.0600239718366566
Cover_Thickness_mm,5.0,3,65.0,68.25,0.11182121349170218,0.17758994109032963,0.124001,58.81596661755767,9.822329262100965,43.21653945559281,33.394210193491844
Cover_Thickness_mm,5.0,4,65.0,68.25,0.11182121349170218,0.17758994109032963,0.043001,58.81596661755767,160.04328618334966,312.9902585761486,152.94697239279895
Cover_Thickness_mm,5.0,5,65.0,68.25,0.11182121349170218,0.17758994109032963,0.047001,58.81596661755767,137.91241354801426,277.84289927944013,139.93048573142588
Cover_Thickness_mm,5.0,6,70.0,73.5,0.15796835139928075,0.16171167480941662,0.129001,2.369666693978618,22.45513709140297,25.356915690123806,2.901778598720835
Cover_Thickness_mm,5.0,7,51.0,53.550000000000004,0.08911383572510151,0.08651894531169653,0.064001,-2.911882753436516,39.238192723709794,35.18373980359139,-4.0544529201184005
Cover_Thickness_mm,5.0,8,65.0,68.25,0.11182121349170218,0.17758994109032963,0.230001,58.81596661755767,51.382292471901344,22.787317841953026,-28.594974629948318
Cover_Thickness_mm,5.0,9,50.0,52.5,0.380202359391613,0.3885002895666658,0.4750009999999999,2.1825035984339713,19.95756653320454,18.210637542517613,-1.7469289906869285
Cover_Thickness_mm,5.0,10,50.0,52.5,0.321926346274652,0.32297397715954856,0.4300009999999999,0.32542564379082495,25.133581951053124,24.889947428134207,-0.24363452291891718
Cover_Thickness_mm,5.0,11,50.0,52.5,0.31947808965114904,0.3054036210682639,0.3480009999999999,-4.4054565989966985,8.196215053649517,12.240590955697254,4.044375902047737
Cover_Thickness_mm,5.0,12,70.0,73.5,0.26356669606396976,0.26193067093928446,0.254001,-0.6207252847636814,3.7660072456288702,3.1219054016655385,-0.6441018439633317
Cover_Thickness_mm,5.0,13,50.0,52.5,0.3134904289744377,0.29267905552406637,0.3080009999999999,-6.638599308583133,1.782276347946199,4.9746411459487305,3.1923647980025316
Cover_Thickness_mm,5.0,14,70.0,73.5,0.055136223558347255,0.05275063050785352,0.052001,-4.326725510986814,6.029160128357641,1.4415694079989314,-4.58759072035871
Cover_Thickness_mm,5.0,15,51.0,53.550000000000004,0.13555278738176288,0.14333869036235955,0.137001,5.743816214320192,1.0570817864374218,4.626017592834751,3.568935806397329
Cover_Thickness_mm,5.0,16,50.0,52.5,0.380202359391613,0.3885002895666658,0.3600009999999999,2.1825035984339713,5.611473132467163,7.916447333942385,2.304974201475222
Cover_Thickness_mm,5.0,17,50.0,52.5,0.321926346274652,0.32297397715954856,0.3500009999999999,0.32542564379082495,8.021306717794493,7.721984463030489,-0.29932225476400465
Cover_Thickness_mm,5.0,18,51.0,53.550000000000004,0.09083998274249505,0.09659968684945332,0.085001,6.340494497104158,6.869310646339525,13.645353406963832,6.776042760624307
Cover_Thickness_mm,5.0,19,20.0,21.0,0.2710360597582249,0.27757311516588057,0.200001,2.411876638660908,35.51735229235099,38.78586365362201,3.268511361271017
Cover_Thickness_mm,5.0,20,65.0,68.25,0.11182121349170218,0.17758994109032963,0.191001,58.81596661755767,41.4551685636713,7.021460049774802,-34.4337085138965
Cover_Thickness_mm,5.0,21,20.0,21.0,0.3052649179485576,0.30380779941550307,0.256001,-0.4773291811082183,19.243642778175715,18.674458074579043,-0.5691847035966724
Cover_Thickness_mm,5.0,22,65.0,68.25,0.11182121349170218,0.17758994109032963,0.139001,58.81596661755767,19.553662569548298,27.76162839859398,8.207965829045683
